profile_pic,username_digit_ratio,fullname_digit_ratio,bio_length,followers_count,following_count,posts_count,account_age_days,posting_frequency,followers_following_ratio,is_fake
1,0.439,0.137,1,36,3681,5,74,0.068,0.01,1
1,0.094,0.018,60,440,927,250,2833,0.088,0.475,0
0,0.34,0.141,5,34,1508,14,142,0.099,0.023,1
1,0.072,0.003,149,1830,351,855,400,2.138,5.214,0
1,0.017,0.005,134,469,612,566,597,0.948,0.766,0
1,0.4,0.288,4,15,4529,11,147,0.075,0.003,1
1,0.577,0.282,3,45,2016,5,11,0.455,0.022,1
1,0.038,0.0,88,4632,918,551,3140,0.175,5.046,0
1,0.055,0.015,143,4601,577,712,2493,0.286,7.974,0
1,0.061,0.014,125,3619,869,307,2509,0.122,4.165,0
1,0.017,0.017,46,598,311,125,2821,0.044,1.923,0
0,0.805,0.146,13,24,2539,9,96,0.094,0.009,1
1,0.049,0.015,57,3867,893,703,3438,0.204,4.33,1
1,0.087,0.016,125,1445,764,862,1601,0.538,1.891,0
1,0.014,0.018,145,3896,358,548,2000,0.274,10.883,0
1,0.579,0.453,14,8,2703,1,63,0.016,0.003,1
0,0.838,0.469,9,23,1217,11,120,0.092,0.019,1
1,0.089,0.017,39,2708,463,890,2464,0.361,5.849,0
0,0.324,0.493,15,4,2443,10,50,0.2,0.002,1
1,0.604,0.104,3,9,4048,8,16,0.5,0.002,1
1,0.022,0.01,33,3972,513,392,3635,0.108,7.743,1
0,0.508,0.231,11,3,4281,3,113,0.027,0.001,1
0,0.56,0.306,17,46,4067,2,40,0.05,0.011,1
0,0.527,0.364,14,46,3959,8,37,0.216,0.012,1
1,0.091,0.002,79,2559,503,275,536,0.513,5.087,0
1,0.001,0.003,83,4963,298,477,3639,0.131,16.654,1
0,0.391,0.319,8,13,1002,2,42,0.048,0.013,1
0,0.459,0.293,2,14,2918,5,127,0.039,0.005,1
1,0.067,0.016,73,3348,971,530,1422,0.373,3.448,0
1,0.055,0.018,124,3008,746,730,1702,0.429,4.032,0
1,0.067,0.017,105,4560,798,335,3667,0.091,5.714,0
0,0.838,0.19,0,27,2979,8,85,0.094,0.009,1
0,0.48,0.489,12,3,4899,9,66,0.136,0.001,1
0,0.389,0.189,7,15,2901,4,26,0.154,0.005,1
1,0.051,0.008,81,3734,680,389,1590,0.245,5.491,0
0,0.397,0.292,2,49,2285,1,112,0.009,0.021,1
1,0.043,0.008,33,3034,479,171,1626,0.105,6.334,0
1,0.088,0.01,80,2053,515,490,3844,0.127,3.986,0
1,0.024,0.016,73,1604,712,384,2795,0.137,2.253,0
1,0.35,0.133,0,9,3213,13,127,0.102,0.003,1
1,0.093,0.016,119,1544,152,52,2295,0.023,10.158,0
1,0.013,0.02,76,3226,782,635,723,0.878,4.125,0
0,0.836,0.232,1,37,1337,1,1,1.0,0.028,0
0,0.019,0.003,80,4317,210,323,2795,0.116,20.557,0
1,0.084,0.001,108,2630,241,116,2258,0.051,10.913,0
1,0.026,0.013,119,4517,198,558,2849,0.196,22.813,0
1,0.028,0.008,73,1633,811,534,3683,0.145,2.014,0
1,0.095,0.006,113,3585,528,876,1328,0.66,6.79,0
1,0.085,0.013,56,2271,572,202,3245,0.062,3.97,0
1,0.348,0.335,3,9,1441,14,33,0.424,0.006,1
1,0.344,0.408,10,37,1979,15,112,0.134,0.019,1
1,0.858,0.367,17,46,3407,9,54,0.167,0.014,1
1,0.066,0.007,80,1868,453,117,565,0.207,4.124,0
1,0.085,0.005,53,4376,574,724,1993,0.363,7.624,1
0,0.818,0.28,10,47,4959,13,81,0.16,0.009,1
1,0.075,0.017,53,360,990,852,1037,0.822,0.364,0
1,0.042,0.01,72,1513,143,955,939,1.017,10.58,0
0,0.662,0.483,6,46,1739,13,10,1.3,0.026,1
1,0.063,0.014,132,3355,445,52,793,0.066,7.539,0
1,0.082,0.01,57,1510,440,746,3062,0.244,3.432,0
1,0.074,0.005,80,4631,704,677,2872,0.236,6.578,0
1,0.077,0.015,35,4026,836,655,2606,0.251,4.816,0
0,0.898,0.283,9,21,1073,13,17,0.765,0.02,1
0,0.827,0.472,19,36,1945,10,58,0.172,0.019,1
1,0.03,0.013,34,2179,784,976,2738,0.356,2.779,0
1,0.459,0.312,1,14,4899,14,62,0.226,0.003,1
0,0.558,0.483,8,34,4335,13,5,2.6,0.008,1
1,0.095,0.016,111,2808,887,664,3081,0.216,3.166,0
1,0.893,0.185,17,18,4193,3,61,0.049,0.004,0
1,0.039,0.015,52,4765,771,255,423,0.603,6.18,0
1,0.008,0.013,91,469,201,182,3434,0.053,2.333,0
1,0.017,0.006,62,3704,265,977,2111,0.463,13.977,0
1,0.016,0.002,149,2665,416,605,3197,0.189,6.406,0
0,0.341,0.493,3,0,4905,7,17,0.412,0.0,1
1,0.079,0.019,52,1228,883,512,1747,0.293,1.391,0
1,0.077,0.016,89,4484,225,542,3101,0.175,19.929,0
1,0.079,0.007,41,3193,280,447,3668,0.122,11.404,0
1,0.094,0.015,146,1007,164,216,962,0.225,6.14,0
0,0.613,0.376,6,30,4787,11,8,1.375,0.006,1
1,0.534,0.403,3,32,4177,12,55,0.218,0.008,1
1,0.062,0.01,105,848,862,282,3783,0.075,0.984,0
0,0.848,0.298,14,24,2319,11,51,0.216,0.01,1
0,0.322,0.175,18,22,1070,11,87,0.126,0.021,1
1,0.084,0.019,140,4096,187,187,3818,0.049,21.904,0
1,0.052,0.015,105,1412,584,556,2632,0.211,2.418,0
1,0.073,0.007,109,566,905,905,2978,0.304,0.625,0
1,0.487,0.429,9,2,4517,3,15,0.2,0.0,1
1,0.699,0.499,8,24,1626,8,88,0.091,0.015,1
1,0.098,0.02,76,915,610,365,3390,0.108,1.5,0
1,0.314,0.493,10,11,3915,2,36,0.056,0.003,1
1,0.06,0.017,76,1228,197,320,3510,0.091,6.234,0
1,0.089,0.004,57,945,337,100,1497,0.067,2.804,0
1,0.756,0.402,2,45,3248,9,142,0.063,0.014,1
1,0.01,0.008,149,633,419,990,3961,0.25,1.511,0
1,0.066,0.005,36,1421,170,146,2774,0.053,8.359,0
1,0.089,0.001,133,3258,515,604,802,0.753,6.326,1
0,0.655,0.324,7,5,2368,5,48,0.104,0.002,1
1,0.641,0.447,20,1,2926,6,33,0.182,0.0,1
0,0.874,0.446,16,15,2670,0,134,0.0,0.006,1
1,0.058,0.015,137,1836,604,610,1339,0.456,3.04,0
0,0.427,0.367,6,33,2198,11,35,0.314,0.015,1
1,0.059,0.018,66,2506,355,681,3871,0.176,7.059,0
1,0.071,0.005,107,4376,101,167,2026,0.082,43.327,0
1,0.748,0.377,18,11,4335,3,64,0.047,0.003,1
0,0.324,0.499,1,46,1295,12,35,0.343,0.036,1
1,0.028,0.002,30,2021,834,163,3764,0.043,2.423,0
0,0.548,0.237,14,9,1602,3,95,0.032,0.006,1
0,0.547,0.364,8,28,3716,6,38,0.158,0.008,1
1,0.035,0.017,139,2288,601,550,1486,0.37,3.807,0
0,0.451,0.273,5,3,4200,1,118,0.008,0.001,1
0,0.422,0.144,9,9,2160,8,46,0.174,0.004,1
1,0.001,0.016,97,834,700,515,1789,0.288,1.191,0
1,0.022,0.004,140,2557,959,538,1964,0.274,2.666,0
1,0.048,0.009,47,440,899,290,3007,0.096,0.489,0
0,0.431,0.479,16,41,4825,4,29,0.138,0.008,1
0,0.523,0.202,3,17,4530,9,104,0.087,0.004,1
0,0.64,0.454,7,18,2032,7,143,0.049,0.009,0
0,0.645,0.47,5,40,3035,0,39,0.0,0.013,1
1,0.033,0.014,100,3738,681,399,370,1.078,5.489,0
0,0.412,0.393,13,16,3850,8,52,0.154,0.004,1
1,0.067,0.019,102,4920,465,148,1921,0.077,10.581,0
1,0.418,0.198,1,21,2461,15,62,0.242,0.009,1
0,0.596,0.272,17,1,3825,2,27,0.074,0.0,1
0,0.382,0.264,1,13,2913,13,137,0.095,0.004,1
1,0.007,0.014,100,3914,835,188,1269,0.148,4.687,0
0,0.431,0.139,8,0,4760,13,31,0.419,0.0,1
0,0.686,0.456,6,5,2395,7,31,0.226,0.002,1
1,0.025,0.012,125,2275,145,537,3187,0.168,15.69,0
0,0.4,0.403,0,31,4346,6,106,0.057,0.007,1
0,0.36,0.301,7,36,2137,0,110,0.0,0.017,1
1,0.861,0.401,17,44,1672,0,25,0.0,0.026,1
1,0.643,0.367,6,11,4368,5,60,0.083,0.003,1
0,0.073,0.004,56,1919,235,352,2252,0.156,8.166,0
0,0.57,0.347,1,7,3972,6,94,0.064,0.002,1
0,0.828,0.22,13,9,3817,2,41,0.049,0.002,1
1,0.305,0.25,17,11,3803,13,28,0.464,0.003,1
0,0.395,0.129,13,6,2780,7,43,0.163,0.002,1
1,0.612,0.322,16,37,4682,10,116,0.086,0.008,1
1,0.1,0.011,102,2066,559,485,1070,0.453,3.696,0
0,0.777,0.212,8,38,1877,0,51,0.0,0.02,1
0,0.038,0.011,148,1045,995,645,837,0.771,1.05,0
1,0.013,0.001,124,4670,977,165,2659,0.062,4.78,0
0,0.846,0.332,4,3,3121,5,138,0.036,0.001,1
0,0.08,0.005,36,4464,978,671,2591,0.259,4.564,0
1,0.024,0.011,73,4601,650,145,1428,0.102,7.078,0
1,0.055,0.017,35,3803,602,920,3797,0.242,6.317,0
0,0.782,0.188,20,5,3121,4,114,0.035,0.002,1
0,0.733,0.319,10,29,1674,8,87,0.092,0.017,1
1,0.077,0.016,129,498,983,879,3326,0.264,0.507,1
1,0.032,0.015,133,964,184,754,1144,0.659,5.239,1
1,0.081,0.009,144,4715,763,430,599,0.718,6.18,0
0,0.749,0.342,4,22,2281,12,30,0.4,0.01,1
0,0.602,0.216,9,16,1652,2,140,0.014,0.01,1
1,0.06,0.012,91,2652,602,584,3510,0.166,4.405,0
1,0.018,0.015,94,647,421,438,2285,0.192,1.537,0
1,0.043,0.001,106,700,102,727,1435,0.507,6.863,1
1,0.527,0.355,2,23,3965,8,136,0.059,0.006,1
1,0.038,0.002,82,1522,916,325,2460,0.132,1.662,0
1,0.493,0.365,11,19,4365,5,148,0.034,0.004,1
1,0.004,0.014,110,4148,154,466,1216,0.383,26.935,0
0,0.661,0.346,14,39,2454,0,135,0.0,0.016,1
0,0.339,0.207,1,7,4544,12,65,0.185,0.002,1
0,0.375,0.322,16,47,1020,8,67,0.119,0.046,1
1,0.064,0.011,90,4383,354,578,1159,0.499,12.381,0
0,0.076,0.011,38,3574,374,298,999,0.298,9.556,0
0,0.385,0.26,9,46,1699,9,105,0.086,0.027,1
1,0.312,0.452,4,23,3958,13,55,0.236,0.006,1
1,0.876,0.201,14,2,4367,12,75,0.16,0.0,1
0,0.679,0.163,11,48,2190,1,48,0.021,0.022,1
1,0.023,0.014,73,4752,799,241,1568,0.154,5.947,0
1,0.087,0.015,115,993,581,436,1625,0.268,1.709,0
0,0.468,0.216,18,33,3069,0,58,0.0,0.011,1
1,0.037,0.011,94,4549,282,900,1493,0.603,16.131,0
1,0.097,0.009,136,804,789,754,1757,0.429,1.019,0
0,0.712,0.123,9,15,1838,6,54,0.111,0.008,0
1,0.082,0.004,97,2411,701,372,3983,0.093,3.439,0
0,0.537,0.189,4,6,1368,3,117,0.026,0.004,1
1,0.733,0.415,17,3,3484,6,62,0.097,0.001,1
1,0.063,0.004,57,1403,514,709,1688,0.42,2.73,0
0,0.324,0.263,1,46,1314,2,130,0.015,0.035,1
0,0.877,0.497,3,29,4935,13,142,0.092,0.006,1
1,0.052,0.0,146,1814,313,890,473,1.882,5.796,0
0,0.318,0.143,13,7,3251,4,135,0.03,0.002,1
0,0.447,0.251,15,40,3878,15,68,0.221,0.01,1
1,0.082,0.012,122,3703,103,953,2908,0.328,35.951,0
0,0.535,0.344,11,8,4628,1,20,0.05,0.002,1
1,0.343,0.149,16,40,4161,9,28,0.321,0.01,1
1,0.023,0.008,91,3109,958,77,2767,0.028,3.245,0
0,0.898,0.178,5,13,3484,4,19,0.211,0.004,1
1,0.028,0.007,39,1055,361,87,3213,0.027,2.922,0
1,0.073,0.003,98,3636,865,93,3762,0.025,4.203,0
0,0.313,0.417,7,31,4832,12,110,0.109,0.006,1
1,0.079,0.001,118,1086,219,814,892,0.913,4.959,0
0,0.808,0.476,6,3,3130,6,93,0.065,0.001,1
0,0.831,0.135,0,24,1630,14,19,0.737,0.015,1
0,0.747,0.14,5,49,1895,8,88,0.091,0.026,1
1,0.082,0.01,53,3873,685,161,2353,0.068,5.654,0
0,0.591,0.405,20,9,3544,6,135,0.044,0.003,1
0,0.474,0.485,3,15,2245,0,136,0.0,0.007,1
1,0.078,0.007,60,4206,983,733,2618,0.28,4.279,0
1,0.053,0.008,57,2214,760,433,2882,0.15,2.913,0
0,0.332,0.367,14,44,3842,0,13,0.0,0.011,1
1,0.099,0.012,38,2670,392,637,1109,0.574,6.811,0
1,0.071,0.009,62,1656,512,824,2813,0.293,3.234,0
1,0.062,0.013,128,4991,927,434,3926,0.111,5.384,0
0,0.478,0.321,19,48,3458,14,23,0.609,0.014,1
0,0.03,0.011,76,3446,752,632,1381,0.458,4.582,0
1,0.639,0.218,16,19,3332,6,45,0.133,0.006,1
1,0.011,0.017,133,2127,401,849,943,0.9,5.304,0
0,0.558,0.326,1,26,3548,0,143,0.0,0.007,1
0,0.04,0.002,127,3721,131,707,2175,0.325,28.405,0
1,0.022,0.011,122,2168,632,671,1267,0.53,3.43,0
1,0.698,0.463,20,15,4680,4,144,0.028,0.003,1
1,0.084,0.02,135,325,452,467,3999,0.117,0.719,0
0,0.889,0.461,18,39,2778,10,8,1.25,0.014,1
0,0.809,0.159,18,48,2469,4,112,0.036,0.019,1
1,0.009,0.011,103,3399,452,466,2946,0.158,7.52,0
1,0.798,0.106,15,27,1402,4,49,0.082,0.019,1
0,0.488,0.235,3,16,4454,6,69,0.087,0.004,1
1,0.015,0.012,128,2845,970,571,1478,0.386,2.933,0
1,0.004,0.001,51,4219,870,279,369,0.756,4.849,0
1,0.085,0.009,80,3489,164,106,843,0.126,21.274,1
0,0.758,0.302,2,5,3737,6,86,0.07,0.001,1
0,0.794,0.11,2,24,3161,1,72,0.014,0.008,1
0,0.678,0.129,10,3,2856,13,46,0.283,0.001,1
0,0.613,0.449,14,41,2684,4,13,0.308,0.015,1
0,0.432,0.212,0,31,2804,14,73,0.192,0.011,1
1,0.006,0.019,143,1444,843,462,3490,0.132,1.713,0
1,0.067,0.012,74,459,668,867,742,1.168,0.687,0
1,0.049,0.013,90,3449,148,214,2680,0.08,23.304,0
0,0.661,0.408,8,1,2627,8,18,0.444,0.0,1
0,0.419,0.282,2,8,4908,10,92,0.109,0.002,1
0,0.403,0.238,12,6,2913,2,119,0.017,0.002,1
0,0.81,0.46,5,43,1416,2,42,0.048,0.03,0
0,0.368,0.4,7,32,3742,10,34,0.294,0.009,0
0,0.628,0.491,12,7,1779,6,115,0.052,0.004,1
0,0.701,0.219,8,37,1201,5,149,0.034,0.031,1
1,0.385,0.258,16,2,4985,3,111,0.027,0.0,1
0,0.897,0.195,6,43,2024,3,102,0.029,0.021,1
1,0.011,0.003,89,4393,783,575,1062,0.541,5.61,0
0,0.345,0.434,20,5,4597,15,138,0.109,0.001,1
1,0.01,0.004,96,3739,275,636,2601,0.245,13.596,0
1,0.083,0.016,117,3887,339,826,2109,0.392,11.466,0
1,0.023,0.016,61,1241,968,577,1090,0.529,1.282,0
1,0.1,0.008,73,2175,686,818,2206,0.371,3.171,0
1,0.002,0.016,105,4761,836,701,2120,0.331,5.695,0
1,0.093,0.002,91,800,512,931,2398,0.388,1.562,0
0,0.041,0.016,48,426,473,832,374,2.225,0.901,0
1,0.014,0.013,51,1778,329,694,1795,0.387,5.404,0
1,0.016,0.02,116,3298,115,845,1737,0.486,28.678,0
1,0.045,0.002,63,3617,683,203,3365,0.06,5.296,0
1,0.065,0.019,39,4974,242,385,2690,0.143,20.554,0
0,0.574,0.338,1,35,3419,8,61,0.131,0.01,1
1,0.061,0.006,99,432,262,179,519,0.345,1.649,0
1,0.08,0.019,118,2182,778,911,2586,0.352,2.805,0
1,0.072,0.014,62,4456,398,713,897,0.795,11.196,0
1,0.663,0.438,19,32,3267,2,22,0.091,0.01,1
1,0.045,0.011,88,593,811,720,2172,0.331,0.731,0
0,0.854,0.194,17,25,2833,12,123,0.098,0.009,1
1,0.077,0.013,33,4002,381,439,3560,0.123,10.504,0
1,0.061,0.014,114,4079,606,675,2544,0.265,6.731,0
1,0.625,0.443,18,27,3071,15,40,0.375,0.009,1
0,0.013,0.01,55,4346,867,89,3603,0.025,5.013,0
1,0.032,0.01,81,1825,798,690,3610,0.191,2.287,0
1,0.005,0.005,33,3252,873,449,1925,0.233,3.725,0
1,0.499,0.283,1,1,3756,3,43,0.07,0.0,1
0,0.625,0.411,10,23,2099,8,47,0.17,0.011,1
1,0.039,0.012,55,1449,461,896,3704,0.242,3.143,0
1,0.019,0.005,47,4663,857,639,3833,0.167,5.441,0
0,0.535,0.447,6,34,4934,3,88,0.034,0.007,1
0,0.456,0.374,10,11,3183,10,124,0.081,0.003,1
1,0.867,0.256,18,10,2653,7,57,0.123,0.004,1
1,0.061,0.014,43,2131,981,566,800,0.708,2.172,0
1,0.535,0.246,20,31,3125,8,99,0.081,0.01,1
1,0.635,0.106,10,48,2997,9,67,0.134,0.016,1
0,0.416,0.351,3,43,4661,2,29,0.069,0.009,1
0,0.659,0.166,6,33,4412,10,149,0.067,0.007,1
0,0.776,0.134,11,13,2615,9,23,0.391,0.005,1
0,0.572,0.231,10,12,1439,6,45,0.133,0.008,1
1,0.089,0.016,90,4596,199,293,3636,0.081,23.095,0
1,0.085,0.001,109,2477,966,203,3220,0.063,2.564,0
1,0.08,0.006,128,1013,136,844,1814,0.465,7.449,0
0,0.53,0.312,3,44,3423,15,144,0.104,0.013,1
1,0.073,0.003,91,355,378,419,896,0.468,0.939,0
1,0.051,0.011,128,3153,511,216,925,0.234,6.17,0
1,0.056,0.018,129,3807,526,109,1693,0.064,7.238,0
0,0.65,0.266,14,34,2811,8,77,0.104,0.012,1
1,0.014,0.014,95,3063,858,964,3106,0.31,3.57,0
1,0.063,0.015,84,3279,915,937,1664,0.563,3.584,0
1,0.084,0.006,94,1355,411,679,851,0.798,3.297,0
0,0.787,0.271,10,1,1557,0,11,0.0,0.001,1
0,0.781,0.249,7,37,3651,7,19,0.368,0.01,0
0,0.379,0.451,3,20,4557,10,18,0.556,0.004,1
1,0.494,0.292,16,13,3594,13,143,0.091,0.004,1
1,0.068,0.006,66,4558,637,681,1934,0.352,7.155,0
1,0.672,0.387,4,31,4944,7,109,0.064,0.006,1
1,0.064,0.009,67,3685,253,814,391,2.082,14.565,0
1,0.085,0.02,120,1673,477,344,1221,0.282,3.507,0
1,0.342,0.187,5,45,3225,3,35,0.086,0.014,1
0,0.338,0.18,4,41,1029,9,24,0.375,0.04,1
0,0.743,0.454,16,15,2701,8,126,0.063,0.006,1
1,0.072,0.009,33,4662,269,835,2296,0.364,17.331,0
1,0.071,0.013,52,1780,458,541,2266,0.239,3.886,0
1,0.075,0.007,110,2476,595,188,1917,0.098,4.161,0
0,0.643,0.113,4,39,1369,14,98,0.143,0.028,1
1,0.055,0.015,80,734,662,939,1109,0.847,1.109,0
0,0.876,0.358,5,4,2872,6,51,0.118,0.001,1
0,0.73,0.187,18,41,3386,5,8,0.625,0.012,1
1,0.017,0.012,102,2053,858,471,3975,0.118,2.393,0
1,0.36,0.271,10,42,4497,2,78,0.026,0.009,1
1,0.055,0.005,51,2963,768,422,3242,0.13,3.858,0
0,0.774,0.442,17,13,2311,9,69,0.13,0.006,1
1,0.049,0.013,124,4339,324,215,3675,0.059,13.392,0
1,0.448,0.108,10,16,4544,8,148,0.054,0.004,1
0,0.765,0.344,3,11,4658,14,150,0.093,0.002,1
0,0.412,0.17,2,10,1227,10,64,0.156,0.008,1
0,0.658,0.404,15,46,1460,6,126,0.048,0.032,1
1,0.082,0.003,101,4551,348,183,976,0.188,13.078,0
0,0.705,0.489,4,50,2492,12,14,0.857,0.02,0
1,0.404,0.453,8,48,3270,15,120,0.125,0.015,1
0,0.604,0.328,11,43,1862,11,132,0.083,0.023,1
0,0.442,0.314,1,48,4237,1,52,0.019,0.011,1
1,0.887,0.195,12,41,1335,10,29,0.345,0.031,0
1,0.035,0.017,56,4973,988,145,458,0.317,5.033,0
1,0.064,0.003,148,3152,779,74,743,0.1,4.046,0
1,0.048,0.013,124,4489,297,108,2872,0.038,15.114,0
1,0.847,0.331,15,5,1861,15,24,0.625,0.003,1
0,0.369,0.259,20,9,3997,4,30,0.133,0.002,1
0,0.371,0.375,14,26,2911,4,14,0.286,0.009,1
0,0.763,0.369,3,7,2567,12,27,0.444,0.003,1
1,0.408,0.148,1,28,1557,10,136,0.074,0.018,1
1,0.093,0.004,109,2053,137,350,2707,0.129,14.985,0
0,0.528,0.183,0,42,1732,14,78,0.179,0.024,1
1,0.01,0.015,66,1742,202,142,1530,0.093,8.624,0
1,0.056,0.008,97,1451,445,930,400,2.325,3.261,1
0,0.496,0.154,19,18,2538,4,5,0.8,0.007,1
0,0.655,0.38,11,22,3955,12,17,0.706,0.006,1
0,0.742,0.1,6,45,3731,11,33,0.333,0.012,1
1,0.65,0.429,3,14,4968,14,31,0.452,0.003,1
1,0.019,0.019,100,2975,652,425,1951,0.218,4.563,0
0,0.854,0.185,0,16,4856,2,40,0.05,0.003,1
0,0.894,0.472,13,7,2482,5,123,0.041,0.003,0
1,0.049,0.001,106,803,553,786,3320,0.237,1.452,0
0,0.559,0.445,0,26,1934,4,33,0.121,0.013,1
0,0.619,0.478,3,21,2308,8,41,0.195,0.009,1
1,0.711,0.357,7,44,3909,9,9,1.0,0.011,1
0,0.375,0.346,12,31,3311,14,95,0.147,0.009,1
0,0.772,0.349,11,28,3417,11,96,0.115,0.008,1
0,0.806,0.478,8,30,4447,3,36,0.083,0.007,1
1,0.451,0.274,3,2,3273,1,31,0.032,0.001,1
1,0.051,0.001,33,3679,667,285,776,0.367,5.516,0
1,0.466,0.477,15,10,2735,1,140,0.007,0.004,1
1,0.01,0.015,76,3968,209,201,2792,0.072,18.986,1
1,0.072,0.019,120,798,574,136,1165,0.117,1.39,1
1,0.041,0.002,36,4084,829,284,1725,0.165,4.926,0
0,0.329,0.448,11,33,4907,8,126,0.063,0.007,1
0,0.08,0.003,120,1910,125,67,2679,0.025,15.28,0
1,0.035,0.017,116,3210,557,486,3246,0.15,5.763,0
1,0.025,0.001,45,4897,105,391,1179,0.332,46.638,0
0,0.782,0.411,19,25,1641,14,66,0.212,0.015,1
1,0.089,0.009,49,946,461,649,627,1.035,2.052,0
0,0.798,0.38,15,1,1131,1,69,0.014,0.001,1
1,0.043,0.006,72,504,873,119,3621,0.033,0.577,0
1,0.045,0.01,89,1318,358,88,445,0.198,3.682,0
1,0.026,0.005,128,4822,169,890,3293,0.27,28.533,0
1,0.07,0.014,119,2508,687,53,1655,0.032,3.651,0
1,0.1,0.001,130,1710,143,311,2865,0.109,11.958,0
1,0.323,0.336,20,38,4365,15,102,0.147,0.009,1
1,0.053,0.01,58,833,303,524,2782,0.188,2.749,0
1,0.372,0.266,19,35,4071,9,27,0.333,0.009,1
0,0.529,0.14,6,31,2174,1,125,0.008,0.014,1
1,0.027,0.005,52,2940,547,237,1228,0.193,5.375,0
0,0.88,0.368,19,18,3387,3,115,0.026,0.005,1
1,0.34,0.429,8,10,4618,13,36,0.361,0.002,1
0,0.58,0.306,17,10,1432,2,106,0.019,0.007,0
1,0.395,0.366,0,40,4290,8,25,0.32,0.009,0
1,0.09,0.011,132,985,340,428,3168,0.135,2.897,0
1,0.062,0.01,94,3974,250,968,823,1.176,15.896,0
1,0.044,0.0,137,4703,615,690,2772,0.249,7.647,0
0,0.857,0.303,2,34,4801,12,67,0.179,0.007,1
1,0.014,0.015,87,3216,634,575,3385,0.17,5.073,0
1,0.057,0.009,94,3362,548,61,2573,0.024,6.135,0
0,0.787,0.204,1,26,2942,10,122,0.082,0.009,1
1,0.083,0.004,54,3415,676,137,1591,0.086,5.052,0
1,0.355,0.359,2,10,3092,15,70,0.214,0.003,1
0,0.66,0.269,16,9,2897,12,149,0.081,0.003,1
1,0.067,0.017,115,709,373,94,2776,0.034,1.901,0
0,0.728,0.203,2,50,3379,13,29,0.448,0.015,1
1,0.326,0.46,20,15,1725,15,73,0.205,0.009,1
0,0.785,0.321,7,21,3960,12,91,0.132,0.005,1
0,0.859,0.332,20,25,1744,9,12,0.75,0.014,1
1,0.093,0.014,66,3382,492,609,1383,0.44,6.874,0
0,0.861,0.272,8,28,3095,9,39,0.231,0.009,1
1,0.001,0.011,43,3461,245,213,1821,0.117,14.127,0
1,0.024,0.013,65,4745,659,178,366,0.486,7.2,0
1,0.057,0.016,58,2478,647,459,2546,0.18,3.83,0
1,0.023,0.001,85,1426,364,454,2329,0.195,3.918,0
1,0.893,0.311,19,36,1279,13,6,2.167,0.028,1
0,0.338,0.22,6,7,3402,7,92,0.076,0.002,1
1,0.892,0.356,5,13,3927,13,28,0.464,0.003,1
0,0.585,0.263,0,21,1764,7,12,0.583,0.012,1
1,0.493,0.304,12,21,4193,0,43,0.0,0.005,1
0,0.874,0.4,15,9,2073,3,25,0.12,0.004,1
1,0.065,0.017,119,2668,380,78,3591,0.022,7.021,0
1,0.541,0.125,15,47,1267,4,67,0.06,0.037,1
1,0.057,0.011,35,4778,654,979,3352,0.292,7.306,0
1,0.04,0.017,48,1093,378,131,2178,0.06,2.892,1
1,0.052,0.02,130,2155,959,384,2914,0.132,2.247,0
1,0.039,0.008,63,4772,532,681,3081,0.221,8.97,0
0,0.783,0.2,18,25,3852,14,80,0.175,0.006,1
0,0.529,0.225,2,20,2393,8,81,0.099,0.008,1
1,0.005,0.002,47,1779,159,915,3180,0.288,11.189,0
1,0.099,0.005,148,3425,811,95,1803,0.053,4.223,0
1,0.585,0.269,1,14,4410,12,54,0.222,0.003,1
1,0.025,0.02,112,1330,202,577,2737,0.211,6.584,0
1,0.523,0.122,15,0,1201,0,147,0.0,0.0,1
0,0.382,0.312,18,16,1732,1,76,0.013,0.009,1
1,0.1,0.014,65,4860,728,495,2131,0.232,6.676,0
0,0.33,0.416,8,10,1058,9,81,0.111,0.009,1
1,0.036,0.015,73,4703,129,634,2210,0.287,36.457,0
0,0.485,0.228,7,12,4200,0,109,0.0,0.003,1
0,0.814,0.248,12,24,4208,4,48,0.083,0.006,1
0,0.502,0.216,3,25,3591,10,89,0.112,0.007,1
1,0.005,0.014,116,3785,264,926,1129,0.82,14.337,0
1,0.015,0.004,127,4002,538,952,2324,0.41,7.439,0
1,0.047,0.008,127,2888,727,118,1963,0.06,3.972,0
1,0.008,0.006,42,1056,481,982,3853,0.255,2.195,1
0,0.874,0.313,16,40,2590,1,2,0.5,0.015,1
0,0.888,0.106,15,37,3114,12,124,0.097,0.012,1
1,0.099,0.003,141,948,277,641,2804,0.229,3.422,0
1,0.036,0.019,144,411,921,329,2192,0.15,0.446,0
0,0.731,0.417,5,40,4325,13,20,0.65,0.009,1
1,0.011,0.003,56,4631,357,284,3377,0.084,12.972,0
0,0.587,0.191,11,44,3411,12,137,0.088,0.013,1
1,0.632,0.489,20,10,2509,8,132,0.061,0.004,0
1,0.013,0.013,118,2205,615,382,3963,0.096,3.585,0
0,0.778,0.492,8,3,1128,13,66,0.197,0.003,1
1,0.037,0.013,73,1493,990,251,3828,0.066,1.508,0
1,0.011,0.019,49,3965,392,838,2565,0.327,10.115,0
1,0.074,0.02,117,995,561,498,3533,0.141,1.774,0
0,0.424,0.366,20,41,3779,5,126,0.04,0.011,1
1,0.415,0.433,17,24,3806,5,19,0.263,0.006,1
1,0.512,0.105,17,3,4281,2,100,0.02,0.001,1
1,0.083,0.005,121,1892,133,445,2858,0.156,14.226,0
